LocationID,Borough,Zone,service_zone,pretinct_number
1,EWR,Newark Airport,EWR,0
2,Queens,Jamaica Bay,Boro Zone,63
3,Bronx,Allerton/Pelham Gardens,Boro Zone,49
4,Manhattan,Alphabet City,Yellow Zone,17
5,Staten Island,Arden Heights,Boro Zone,123
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,120
7,Queens,Astoria,Boro Zone,114
8,Queens,Astoria Park,Boro Zone,114
9,Queens,Auburndale,Boro Zone,111
10,Queens,Baisley Park,Boro Zone,113
11,Brooklyn,Bath Beach,Boro Zone,62
12,Manhattan,Battery Park,Yellow Zone,1
13,Manhattan,Battery Park City,Yellow Zone,1
14,Brooklyn,Bay Ridge,Boro Zone,68
15,Queens,Bay Terrace/Fort Totten,Boro Zone,109
16,Queens,Bayside,Boro Zone,111
17,Brooklyn,Bedford,Boro Zone,0
18,Bronx,Bedford Park,Boro Zone,52
19,Queens,Bellerose,Boro Zone,105
20,Bronx,Belmont,Boro Zone,0
21,Brooklyn,Bensonhurst East,Boro Zone,62
22,Brooklyn,Bensonhurst West,Boro Zone,62
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,122
24,Manhattan,Bloomingdale,Yellow Zone,0
25,Brooklyn,Boerum Hill,Boro Zone,84
26,Brooklyn,Borough Park,Boro Zone,66
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,100
28,Queens,Briarwood/Jamaica Hills,Boro Zone,107
29,Brooklyn,Brighton Beach,Boro Zone,60
30,Queens,Broad Channel,Boro Zone,100
31,Bronx,Bronx Park,Boro Zone,52
32,Bronx,Bronxdale,Boro Zone,49
33,Brooklyn,Brooklyn Heights,Boro Zone,84
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,88
35,Brooklyn,Brownsville,Boro Zone,73
36,Brooklyn,Bushwick North,Boro Zone,83
37,Brooklyn,Bushwick South,Boro Zone,83
38,Queens,Cambria Heights,Boro Zone,105
39,Brooklyn,Canarsie,Boro Zone,69
40,Brooklyn,Carroll Gardens,Boro Zone,76
41,Manhattan,Central Harlem,Boro Zone,28
42,Manhattan,Central Harlem North,Boro Zone,32
43,Manhattan,Central Park,Yellow Zone,0
44,Staten Island,Charleston/Tottenville,Boro Zone,123
45,Manhattan,Chinatown,Yellow Zone,5
46,Bronx,City Island,Boro Zone,45
47,Bronx,Claremont/Bathgate,Boro Zone,48
48,Manhattan,Clinton East,Yellow Zone,7
49,Brooklyn,Clinton Hill,Boro Zone,88
50,Manhattan,Clinton West,Yellow Zone,0
51,Bronx,Co-Op City,Boro Zone,45
52,Brooklyn,Cobble Hill,Boro Zone,76
53,Queens,College Point,Boro Zone,109
54,Brooklyn,Columbia Street,Boro Zone,76
55,Brooklyn,Coney Island,Boro Zone,60
56,Queens,Corona,Boro Zone,110
57,Queens,Corona,Boro Zone,110
58,Bronx,Country Club,Boro Zone,45
59,Bronx,Crotona Park,Boro Zone,42
60,Bronx,Crotona Park East,Boro Zone,42
61,Brooklyn,Crown Heights North,Boro Zone,77
62,Brooklyn,Crown Heights South,Boro Zone,71
63,Brooklyn,Cypress Hills,Boro Zone,75
64,Queens,Douglaston,Boro Zone,111
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,84
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,84
67,Brooklyn,Dyker Heights,Boro Zone,68
68,Manhattan,East Chelsea,Yellow Zone,10
69,Bronx,East Concourse/Concourse Village,Boro Zone,44
70,Queens,East Elmhurst,Boro Zone,115
71,Brooklyn,East Flatbush/Farragut,Boro Zone,67
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,67
73,Queens,East Flushing,Boro Zone,109
74,Manhattan,East Harlem North,Boro Zone,28
75,Manhattan,East Harlem South,Boro Zone,82
76,Brooklyn,East New York,Boro Zone,75
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,75
78,Bronx,East Tremont,Boro Zone,48
79,Manhattan,East Village,Yellow Zone,9
80,Brooklyn,East Williamsburg,Boro Zone,90
81,Bronx,Eastchester,Boro Zone,47
82,Queens,Elmhurst,Boro Zone,121
83,Queens,Elmhurst/Maspeth,Boro Zone,110
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,123
85,Brooklyn,Erasmus,Boro Zone,67
86,Queens,Far Rockaway,Boro Zone,101
87,Manhattan,Financial District North,Yellow Zone,1
88,Manhattan,Financial District South,Yellow Zone,1
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,70
90,Manhattan,Flatiron,Yellow Zone,13
91,Brooklyn,Flatlands,Boro Zone,63
92,Queens,Flushing,Boro Zone,109
93,Queens,Flushing Meadows-Corona Park,Boro Zone,112
94,Bronx,Fordham South,Boro Zone,48
95,Queens,Forest Hills,Boro Zone,112
96,Queens,Forest Park/Highland Park,Boro Zone,102
97,Brooklyn,Fort Greene,Boro Zone,88
98,Queens,Fresh Meadows,Boro Zone,107
99,Staten Island,Freshkills Park,Boro Zone,121
100,Manhattan,Garment District,Yellow Zone,0
101,Queens,Glen Oaks,Boro Zone,105
102,Queens,Glendale,Boro Zone,104
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,1
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,1
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,1
106,Brooklyn,Gowanus,Boro Zone,78
107,Manhattan,Gramercy,Yellow Zone,13
108,Brooklyn,Gravesend,Boro Zone,61
109,Staten Island,Great Kills,Boro Zone,122
110,Staten Island,Great Kills Park,Boro Zone,122
111,Brooklyn,Green-Wood Cemetery,Boro Zone,72
112,Brooklyn,Greenpoint,Boro Zone,94
113,Manhattan,Greenwich Village North,Yellow Zone,6
114,Manhattan,Greenwich Village South,Yellow Zone,9
115,Staten Island,Grymes Hill/Clifton,Boro Zone,120
116,Manhattan,Hamilton Heights,Boro Zone,30
117,Queens,Hammels/Arverne,Boro Zone,100
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,121
119,Bronx,Highbridge,Boro Zone,44
120,Manhattan,Highbridge Park,Boro Zone,34
121,Queens,Hillcrest/Pomonok,Boro Zone,107
122,Queens,Hollis,Boro Zone,103
123,Brooklyn,Homecrest,Boro Zone,61
124,Queens,Howard Beach,Boro Zone,106
125,Manhattan,Hudson Sq,Yellow Zone,1
126,Bronx,Hunts Point,Boro Zone,41
127,Manhattan,Inwood,Boro Zone,34
128,Manhattan,Inwood Hill Park,Boro Zone,34
129,Queens,Jackson Heights,Boro Zone,115
130,Queens,Jamaica,Boro Zone,103
131,Queens,Jamaica Estates,Boro Zone,107
132,Queens,JFK Airport,Airports,113
133,Brooklyn,Kensington,Boro Zone,66
134,Queens,Kew Gardens,Boro Zone,107
135,Queens,Kew Gardens Hills,Boro Zone,107
136,Bronx,Kingsbridge Heights,Boro Zone,50
137,Manhattan,Kips Bay,Yellow Zone,13
138,Queens,LaGuardia Airport,Airports,115
139,Queens,Laurelton,Boro Zone,116
140,Manhattan,Lenox Hill East,Yellow Zone,19
141,Manhattan,Lenox Hill West,Yellow Zone,19
142,Manhattan,Lincoln Square East,Yellow Zone,20
143,Manhattan,Lincoln Square West,Yellow Zone,20
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,5
145,Queens,Long Island City/Hunters Point,Boro Zone,108
146,Queens,Long Island City/Queens Plaza,Boro Zone,114
147,Bronx,Longwood,Boro Zone,41
148,Manhattan,Lower East Side,Yellow Zone,7
149,Brooklyn,Madison,Boro Zone,61
150,Brooklyn,Manhattan Beach,Boro Zone,61
151,Manhattan,Manhattan Valley,Yellow Zone,24
152,Manhattan,Manhattanville,Boro Zone,26
153,Manhattan,Marble Hill,Boro Zone,50
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,63
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,63
156,Staten Island,Mariners Harbor,Boro Zone,121
